,0
0,4.856337890000001
1,4.934414062999998
2,5.277949218000003
3,5.106181640999999
4,4.918798828
5,4.981259766000001
6,5.199873046999997
7,5.106181640000003
8,4.871953125
9,4.934414062000002
10,5.13741211
11,5.262333984000001
12,4.856337890000002
13,4.965644531999997
14,5.199873046500002
15,5.199873046499999
